airline,avail_seat_km_per_week,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,In top 100-2015?,Rank
Aeroflot*,1197672318,6,1,88,Yes,46
Air France,3004002661,6,2,337,Yes,15
Air India*,869253552,4,1,158,No,101
Air New Zealand*,710174817,5,1,7,Yes,17
Alaska Airlines*,965346773,5,1,88,Yes,65
American*,5228357340,17,3,416,Yes,79
China Airlines,813216487,2,1,225,Yes,52
Delta / Northwest*,6525658894,24,2,51,Yes,45
Egyptair,557699891,4,1,14,No,101
Ethiopian Airlines,488560643,5,2,92,Yes,77
Garuda Indonesia,613356665,4,2,22,Yes,8
Gulf Air,301379762,3,1,143,Yes,88
Kenya Airways,277414794,2,2,283,Yes,86
Malaysia Airlines,1039171244,3,2,537,Yes,24
Pakistan International,348563137,10,2,46,No,101
Philippine Airlines,413007158,2,1,1,Yes,87
SAS*,682971852,6,1,110,Yes,57
Singapore Airlines,2376857805,2,1,83,Yes,2
TACA,259373346,1,1,3,No,101
TAM,1509195646,7,2,188,Yes,51
Thai Airways,1702802250,2,1,1,Yes,19
Turkish Airlines,1946098294,8,2,84,Yes,4
United / Continental*,7139291291,14,2,109,Yes,60
US Airways / America West*,2455687887,11,2,23,No,101
